"gene_id","gene_symbol","term_id","term_name","domain"
"YBL016W","FUS3","sce04517","IgSF CAM signaling - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBL016W","FUS3","sce04111","Cell cycle - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBL105C","PKC1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBL105C","PKC1","sce04517","IgSF CAM signaling - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBL105C","PKC1","sce04082","Neuroactive ligand signaling - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBL105C","PKC1","sce04070","Phosphatidylinositol signaling system - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBL105C","PKC1","sce04139","Mitophagy - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR083W","TEC1","sce04519","Cadherin signaling - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR083W","TEC1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR083W","TEC1","sce04392","Hippo signaling pathway - multiple species - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR112C","CYC8","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR112C","CYC8","sce04111","Cell cycle - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR133C","HSL7","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR133C","HSL7","sce04111","Cell cycle - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR160W","CDC28","sce04113","Meiosis - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR160W","CDC28","sce04111","Cell cycle - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR160W","CDC28","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR182C","SMP1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR200W","BEM1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR279W","PAF1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCL027W","FUS1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCL032W","STE50","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR073C","SSK22","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR084C","TUP1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR084C","TUP1","sce04111","Cell cycle - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDL006W","PTC1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDL159W","STE7","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDL235C","YPD1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR099W","BMH2","sce04519","Cadherin signaling - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR099W","BMH2","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR103W","STE5","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
