"gene_id","gene_symbol","term_id","term_name","domain"
"Dmel_CG7913","wrd","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8822","PpD6","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8822","PpD6","dme04519","Cadherin signaling - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8954","Smg5","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9156","Pp1-13C","dme04519","Cadherin signaling - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9156","Pp1-13C","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9654","Rbp4","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9854","hrg","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10210","tst","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10418","CG10418","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10418","CG10418","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG11183","DCP1","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG11265","Trf4-1","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG11337","PNPase","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG11486","PAN3","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG12101","Hsp60A","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG13277","LSm7","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG13277","LSm7","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG14213","Rcd-1","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG15262","CG15262","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG15481","Ski6","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG16954","Hsp60D","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG17462","Trf4-2","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG17768","CG17768","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
